RefID,Income,LoanBalance,Age,InterestType,MortgageType,InterestIncome,MortgageYears,PropertyValue,AnnualPayment,CreditRating,Default,InterestRate,LoanToValue
312,193542,"1,28,429",46,Variable,2,"3,532",28,"2,07,143","7,398",1,0,5,161
313,75304,"1,73,429",61,Variable,2,"6,937",32,"2,62,772","8,212",1,0,3,72
314,73718,"97,606",57,Fixed,2,"6,710",28,"1,04,993","3,750",1,0,6,159
315,192011,"67,312",56,Tracker,2,"1,515",33,"87,418","2,649",2,0,2,43
316,61601,"75,219",66,Variable,2,"3,573",32,"1,21,321","3,791",1,0,4,25
317,166027,"1,40,214",63,Tracker,1,"2,278",28,"1,16,816","4,172",5,0,1,177
318,61419,"92,469",53,Tracker,2,"1,387",35,"1,30,238","3,721",4,0,1,88
319,170003,"1,52,302",55,Variable,1,"2,475",30,"2,08,632","6,954",4,0,5,52
320,162482,"1,99,443",55,Tracker,2,"6,482",31,"3,11,629","10,053",1,0,3,22
321,175081,"1,11,532",25,Fixed,2,"5,437",29,"1,54,905","5,342",2,1,4,113
322,148870,"29,312",58,Variable,2,696,34,"1,18,614","3,489",2,1,5,48
323,98497,"25,938",36,Tracker,2,357,31,"81,635","2,633",1,1,1,57
324,157198,"1,65,321",51,Tracker,2,"3,306",34,"1,82,451","5,366",4,0,2,154
325,153214,"82,270",67,Variable,2,"4,422",30,"1,05,474","3,516",1,0,5,33
326,159592,"49,861",59,Tracker,2,810,33,"1,46,107","4,427",1,0,1,163
327,191635,"1,89,345",26,Tracker,1,473,35,"2,66,683","7,620",4,0,0,121
328,36820,"1,59,554",49,Tracker,2,"2,992",29,"2,65,924","9,170",3,0,2,190
329,47035,"48,325",45,Fixed,1,"3,202",30,"1,52,095","5,070",1,1,5,40
330,144978,"87,584",55,Fixed,2,"5,912",34,"1,19,977","3,529",3,0,5,185
331,78566,"1,07,200",33,Fixed,1,"7,236",30,"1,44,865","4,829",3,0,5,151
332,48981,"1,64,389",61,Tracker,1,"6,165",35,"2,19,185","6,262",1,0,3,94
333,173125,"1,51,546",29,Tracker,2,"6,820",30,"2,02,062","6,735",1,0,4,43
334,167312,"1,81,311",36,Tracker,2,"2,493",35,"2,00,099","5,717",1,0,1,106
335,54014,"97,052",39,Fixed,2,"6,551",32,"1,02,637","3,207",3,0,5,60
336,173347,"96,649",54,Variable,2,"5,920",34,"1,36,125","4,004",1,0,5,45
337,160562,"1,43,639",39,Variable,2,"1,257",28,"1,81,822","6,494",1,0,5,192
338,91418,"31,427",59,Variable,2,668,30,"83,458","2,782",2,1,5,181
339,138326,"28,254",55,Tracker,2,530,32,"1,04,392","3,262",2,0,2,125
340,160465,"1,19,691",40,Tracker,1,"3,890",33,"77,054","2,335",5,0,3,65
341,99106,"1,25,860",50,Tracker,2,"5,664",31,"2,06,329","6,656",4,1,4,70
342,114449,"1,65,346",59,Variable,2,"5,580",33,"2,54,378","7,708",3,0,5,42
343,108850,"96,020",49,Variable,2,"1,560",28,"1,60,033","5,715",1,0,1,131
344,166174,"1,52,604",30,Tracker,2,"4,197",35,"2,03,472","5,813",3,0,2,101
345,99361,"1,94,532",30,Fixed,2,"9,483",33,"2,55,963","7,756",2,0,4,95
346,39983,"1,52,604",36,Tracker,2,"4,197",28,"1,64,153","5,863",3,0,2,55
347,117417,"1,61,594",50,Tracker,2,0,33,"2,52,490","7,651",1,0,0,58
348,45155,"1,77,232",53,Tracker,2,"5,982",32,"2,49,623","7,801",3,1,3,1
349,188210,"71,215",66,Tracker,2,"1,157",30,"76,168","2,539",1,0,1,94
350,135240,"1,32,257",30,Variable,1,"1,488",29,"2,03,472","7,016",4,0,1,127
351,124739,"1,01,534",42,Tracker,2,0,34,"1,31,863","3,878",3,0,0,120
352,92354,"1,68,594",30,Tracker,1,"1,897",29,"2,59,376","8,944",1,0,1,119
353,44627,"75,219",30,Tracker,2,564,32,"1,04,471","3,265",1,0,1,124
354,75915,"1,87,557",46,Fixed,2,"10,316",30,"2,01,751","6,725",2,0,4,61
355,129983,"81,968",51,Tracker,2,922,30,"86,891","2,896",2,0,1,147
356,67818,"1,40,214",45,Tracker,1,"2,278",32,"1,82,096","5,691",3,0,1,139
357,116632,"1,25,457",52,Variable,1,"2,666",30,"1,58,807","5,294",1,0,2,190
358,182671,"54,444",44,Tracker,2,204,33,"86,419","2,619",1,0,0,61
359,107901,"89,447",53,Variable,2,112,32,"96,836","3,026",2,1,5,80
360,91403,"85,619",43,Tracker,2,"2,462",35,"1,22,313","3,495",3,0,2,23
361,175421,"1,53,032",62,Tracker,2,"1,339",30,"2,46,826","8,228",3,0,1,154
362,168611,"1,92,971",37,Variable,1,"1,688",33,"2,07,575","6,290",1,0,5,121
363,178826,"1,80,581",34,Tracker,2,"8,803",35,"1,91,819","5,481",1,0,4,85
364,97713,"22,211",45,Tracker,1,972,35,"75,497","2,157",2,0,4,141
365,37772,"1,59,856",65,Tracker,2,"3,597",31,"2,25,150","7,263",1,0,2,15
366,84511,"51,296",48,Fixed,2,"3,334",28,"77,721","2,776",3,0,5,168
367,131413,"54,847",57,Tracker,2,"1,440",29,"70,316","2,425",1,0,2,74
368,149396,"97,052",60,Tracker,1,"1,941",30,"1,51,644","5,055",4,0,2,121
369,165978,"1,89,471",47,Tracker,2,"8,289",29,"2,70,672","9,334",1,0,4,9
370,55419,"51,372",62,Tracker,2,"1,349",30,"67,594","2,253",1,0,2,190
371,161966,"78,971",69,Tracker,2,"3,652",35,"1,10,014","3,143",1,0,4,99
372,55757,"1,39,005",46,Variable,2,"4,865",35,"1,47,656","4,219",3,0,5,197
373,194614,"1,61,216",51,Tracker,2,"6,650",30,"1,73,417","5,781",1,0,3,57
374,170626,"57,919",49,Tracker,2,"1,448",31,"76,209","2,458",1,0,2,71
375,179638,"1,25,709",52,Variable,2,"4,086",30,"2,02,757","6,759",1,0,5,151
376,92353,"22,891",38,Variable,1,"1,459",33,"97,260","2,947",5,0,5,52
377,112946,"36,640",64,Tracker,2,"1,786",33,"1,19,755","3,629",1,1,4,81
378,159979,"1,11,909",38,Variable,1,"6,575",29,"1,23,505","4,259",4,1,5,176
379,139523,"1,85,643",39,Tracker,2,464,32,"2,44,267","7,633",1,1,0,3
380,128032,"42,608",60,Tracker,1,"2,024",30,"1,57,425","5,248",5,1,4,31
381,144899,"1,39,232",46,Tracker,2,"1,566",35,"1,80,821","5,166",1,0,1,139
382,187916,"26,315",39,Tracker,2,197,29,"63,080","2,175",3,0,1,54
383,121602,"1,11,532",49,Variable,2,558,32,"1,74,268","5,446",1,0,5,113
384,181179,"62,250",62,Tracker,2,"2,257",35,"63,349","1,810",1,0,3,159
385,132934,"1,12,363",59,Tracker,2,"1,966",33,"1,42,231","4,310",1,0,1,183
386,149453,"1,18,457",57,Fixed,2,"7,848",28,"1,85,089","6,610",2,0,5,182
387,107545,"9,670",34,Tracker,1,12,28,"68,478","2,446",3,0,0,94
388,194810,"64,592",57,Variable,1,565,34,"1,05,889","3,114",1,0,1,137
389,100256,"1,16,039",56,Tracker,1,"1,596",28,"1,75,817","6,279",4,0,1,192
390,102960,"2,493",29,Fixed,2,146,34,"1,05,927","3,116",3,0,5,23
391,152026,"1,23,090",42,Fixed,1,"7,385",30,"1,34,103","4,470",3,0,5,195
392,171693,"1,53,611",56,Tracker,2,"6,720",32,"2,16,354","6,761",1,0,4,5
393,139852,"1,74,512",42,Variable,2,"2,618",35,"2,23,734","6,392",2,0,5,80
394,59499,"98,563",56,Tracker,1,"4,435",31,"61,137","1,972",5,0,4,94
395,188201,"1,27,019",67,Variable,2,"7,462",28,"1,38,383","4,942",2,0,5,134
396,49987,"1,44,394",43,Variable,2,"9,927",31,"2,40,657","7,763",2,0,5,50
397,154709,"1,42,657",68,Variable,2,"3,388",35,"2,16,147","6,176",3,0,2,115
398,48385,"9,972",44,Tracker,2,436,35,"2,11,854","6,053",1,0,4,170
399,151014,"86,375",66,Tracker,2,"4,103",28,"1,11,212","3,972",1,0,4,191
400,60830,"1,62,878",69,Variable,1,"5,904",34,"2,58,537","7,604",4,0,4,61
401,156796,"16,394",44,Variable,2,61,28,"81,947","2,927",3,0,5,118
402,107098,"92,242",37,Tracker,2,461,28,"1,18,259","4,224",1,0,0,162
403,197141,"1,80,581",35,Tracker,2,"6,998",35,"2,82,158","8,062",1,0,3,178
404,47937,"69,805",56,Tracker,2,"1,658",30,"95,269","3,176",3,0,2,74
405,66867,"2,08,055",42,Variable,2,"12,743",28,"1,98,654","7,095",1,0,5,114
406,81930,"2,00,349",55,Variable,2,501,29,"2,90,361","10,012",1,0,0,198
407,79055,"1,01,937",42,Tracker,2,637,35,"1,43,574","4,102",1,0,1,156
408,179020,"2,569",37,Variable,1,61,28,"1,09,137","3,898",1,0,5,59
409,199255,"62,250",60,Tracker,1,"2,957",33,"87,676","2,657",1,0,4,86
410,170044,"1,63,407",32,Tracker,2,"4,494",35,"2,20,820","6,309",2,0,2,165
411,101357,"15,563",28,Tracker,1,447,34,"1,01,730","2,992",2,0,2,102
412,47404,"44,094",61,Tracker,1,"1,819",35,"1,17,441","3,355",4,0,3,194
413,73368,"51,372",61,Tracker,1,"1,541",28,"1,46,776","5,242",2,0,2,143
414,92770,"35,129",53,Tracker,2,395,34,"99,507","2,927",1,0,1,92
415,168708,"1,70,282",40,Tracker,2,"7,237",34,"2,30,110","6,768",1,0,3,175
416,83097,"1,79,901",37,Tracker,2,"4,947",33,"2,46,440","7,468",2,0,2,21
417,127776,"1,40,516",37,Tracker,2,"5,972",31,"1,49,261","4,815",2,0,3,159
418,112905,"1,57,892",65,Tracker,2,789,35,"2,16,291","6,180",2,0,0,177
419,38956,"84,612",40,Variable,2,"3,173",31,"1,14,130","3,682",1,0,3,85
420,63103,"1,19,540",52,Tracker,2,"4,333",32,"1,55,246","4,851",4,0,3,102
421,97971,"93,174",52,Variable,2,"4,542",28,"1,21,563","4,342",1,0,5,106
422,148327,"1,04,153",27,Tracker,2,391,29,"1,13,472","3,913",1,0,0,194
423,191980,"1,64,540",56,Variable,2,"9,461",33,"2,31,747","7,023",1,0,5,111
424,185531,"85,594",45,Variable,2,"3,852",34,"1,10,207","3,241",1,0,5,152
425,97358,"15,563",31,Variable,1,97,32,"1,10,207","3,444",4,0,5,88
426,98354,"49,710",53,Tracker,1,"1,616",31,"1,38,082","4,454",5,0,3,101
427,71998,"26,315",39,Tracker,2,625,31,"1,49,083","4,809",2,0,2,163
428,115004,"2,06,015",64,Variable,2,"10,558",34,"3,21,899","9,468",1,0,5,151
429,130206,"34,751",43,Tracker,2,"1,173",29,"82,031","2,829",1,0,3,77
430,136480,"50,767",49,Fixed,2,"2,856",32,"1,30,172","4,068",1,0,5,199
431,166710,"1,87,355",60,Fixed,2,"12,178",28,"2,46,520","8,804",3,0,5,117
432,80238,"75,748",26,Variable,1,"3,693",32,"72,325","2,260",5,0,5,197
433,71705,"60,236",25,Variable,2,"3,840",31,"1,00,393","3,238",3,0,5,200
434,72991,"1,15,586",69,Tracker,2,144,31,"1,56,197","5,039",1,0,0,109
435,196097,"1,74,059",64,Fixed,2,"11,749",35,"1,87,232","5,349",2,0,5,63
436,153145,"1,33,491",42,Fixed,2,"6,675",29,"2,15,307","7,424",3,0,4,76
437,117580,"1,87,557",55,Variable,2,"2,579",31,"2,97,709","9,604",1,0,5,83
438,39583,"49,710",37,Tracker,2,124,32,"1,11,164","3,474",2,0,0,147
439,59310,"25,938",49,Tracker,2,227,31,"1,55,757","5,024",4,0,1,188
440,141808,"28,405",56,Fixed,2,"1,491",29,"2,01,155","6,936",1,0,5,136
441,78007,"1,53,888",47,Variable,2,"6,156",28,"1,63,465","5,838",3,0,5,86
442,146337,"4,634",52,Variable,2,220,30,"1,31,250","4,375",3,0,5,181
443,154940,"80,482",59,Variable,2,"5,332",28,"1,16,641","4,166",1,0,5,116
444,174952,"1,93,399",61,Variable,2,"3,868",28,"2,93,029","10,465",2,0,5,178
445,124041,"1,33,465",36,Fixed,2,"9,009",33,"2,18,796","6,630",2,0,5,50
446,117627,"12,717",52,Tracker,2,302,29,"63,569","2,192",1,0,2,71
447,184179,"23,117",47,Tracker,1,867,34,"1,26,200","3,712",4,0,3,145
448,70030,"79,777",45,Variable,2,"2,094",33,"77,269","2,341",4,0,2,98
449,43305,"1,46,762",43,Tracker,2,"4,586",30,"1,59,892","5,330",2,0,3,148
450,196716,"93,678",62,Fixed,1,"5,035",33,"1,01,469","3,075",1,0,4,118
451,110889,"95,969",52,Variable,1,"4,918",31,"1,21,721","3,926",1,0,4,158
452,68713,"33,064",27,Tracker,2,"1,240",29,"85,144","2,936",1,0,3,198
453,49936,"83,051",46,Variable,1,"1,765",31,"84,529","2,727",4,0,4,176
454,39613,"1,14,755",59,Tracker,1,"4,877",35,"1,91,258","5,465",4,0,3,87
455,133573,"25,938",36,Tracker,1,162,28,"68,717","2,454",4,0,1,24
456,162635,"98,563",30,Tracker,2,"3,573",30,"1,25,931","4,198",3,0,3,77
457,96144,"2,02,313",58,Fixed,2,"11,127",35,"2,66,202","7,606",2,0,5,55
458,81420,"1,83,830",64,Variable,2,"4,366",34,"2,51,822","7,407",3,0,5,192
459,126078,"11,584",63,Tracker,1,43,30,"82,031","2,734",2,0,0,137
460,129272,"76,554",30,Tracker,1,574,30,"1,10,947","3,698",4,0,1,61
461,91346,"84,612",25,Tracker,2,"4,019",28,"1,14,341","4,084",1,0,4,68
462,114604,"1,06,571",33,Variable,1,"4,130",35,"1,71,888","4,911",1,0,3,197
463,134274,"49,181",55,Tracker,2,"1,537",34,"1,17,891","3,467",3,0,3,33
464,99159,"16,922",48,Tracker,2,613,31,"1,43,804","4,639",2,0,3,131
465,127743,"71,920",25,Variable,2,"2,158",35,"1,17,902","3,369",1,0,5,33
466,165352,"40,669",50,Tracker,2,203,31,"1,19,173","3,844",1,0,0,14
467,164612,"26,869",67,Variable,2,"1,411",35,"1,90,277","5,436",1,0,4,179
468,187210,"81,087",46,Variable,1,101,35,"1,11,077","3,174",1,0,5,70
469,89311,"45,932",47,Variable,2,"1,378",29,"1,50,125","5,177",1,0,5,13
470,102111,"1,16,719",69,Tracker,2,"2,772",33,"1,64,393","4,982",3,0,2,38
471,150220,"2,12,688",52,Variable,1,532,33,"2,72,677","8,263",1,0,0,60
472,44972,"1,68,544",46,Tracker,1,"5,478",32,"2,59,299","8,103",3,0,3,4
473,82278,"71,215",32,Tracker,1,"2,760",35,"91,301","2,609",1,0,3,170
474,156405,"1,01,736",51,Variable,2,"3,942",32,"1,51,845","4,745",3,0,3,99
475,165967,"1,66,958",34,Tracker,2,"2,087",32,"2,45,526","7,673",1,0,1,137
476,92056,"81,087",42,Variable,2,"2,027",28,"1,21,025","4,322",3,0,5,114
477,108172,"1,25,105",38,Variable,2,"6,724",34,"1,62,474","4,779",2,0,5,147
478,159458,"1,22,008",29,Tracker,2,"5,643",30,"1,79,423","5,981",4,0,4,56
479,59815,"11,836",28,Tracker,2,118,30,"91,043","3,035",3,0,1,140
480,48398,"39,083",63,Tracker,2,684,33,"1,27,738","3,871",1,0,1,83
481,181993,"1,91,938",55,Fixed,2,"10,557",31,"2,46,075","7,938",4,0,4,31
482,87792,"96,699",26,Tracker,2,"1,088",28,"1,05,351","3,763",2,0,1,79
483,152774,"97,228",31,Tracker,2,365,28,"98,945","3,534",2,0,0,105
484,52754,"2,00,928",54,Variable,2,753,33,"1,96,260","5,947",1,0,5,125
485,116674,"2,04,832",28,Tracker,2,"7,425",30,"2,00,072","6,669",1,0,3,189
486,106344,"1,43,639",33,Tracker,1,359,31,"1,96,766","6,347",3,0,0,45
487,178652,"43,666",26,Tracker,2,"1,092",30,"1,68,666","5,622",2,0,2,186
488,195347,"36,313",50,Tracker,2,"1,316",35,"1,28,575","3,674",1,0,3,158
489,55207,"1,62,173",54,Tracker,2,203,31,"2,19,153","7,069",1,0,0,200
490,77526,"1,44,596",64,Tracker,2,904,28,"1,57,533","5,626",2,0,1,183
491,193225,"1,59,856",54,Variable,1,"4,796",33,"2,38,591","7,230",1,0,5,190
492,102743,"1,88,866",29,Tracker,2,"1,653",32,"2,05,764","6,430",1,0,1,37
493,41950,"28,254",44,Tracker,2,530,32,"80,950","2,530",4,0,2,103
494,169626,"25,938",29,Variable,2,"1,621",31,"71,101","2,294",2,0,5,62
495,35208,"73,381",42,Tracker,2,"2,752",35,"97,841","2,795",1,0,3,49
496,173482,"1,99,720",69,Tracker,2,"8,238",35,"2,12,149","6,061",4,0,3,61
497,113494,"2,00,299",30,Tracker,2,"4,507",35,"2,94,557","8,416",2,0,2,132
498,35534,"48,652",33,Fixed,2,"3,041",31,"1,11,740","3,605",2,0,5,94
499,179175,"1,11,204",33,Variable,2,"3,753",34,"1,68,491","4,956",2,0,4,18
500,48206,"49,710",69,Variable,1,"3,169",30,"1,76,010","5,867",2,0,4,89
501,75251,"98,210",42,Variable,2,491,34,"1,42,334","4,186",3,0,5,105
502,103199,"1,87,003",29,Tracker,2,"4,909",35,"3,01,617","8,618",4,0,2,123
503,36999,"17,804",52,Tracker,2,846,33,"1,08,067","3,275",3,0,4,72
504,88324,"31,125",33,Fixed,1,"1,906",34,"75,408","2,218",4,0,5,10
505,153934,"1,13,521",38,Fixed,2,"7,379",31,"1,49,370","4,818",1,0,5,21
506,199225,"1,21,907",53,Fixed,2,"6,705",30,"1,31,133","4,371",1,0,5,109
507,87299,"1,45,603",55,Tracker,2,"3,094",30,"1,60,690","5,356",4,0,2,120
508,146440,"84,612",59,Variable,2,"3,913",30,"1,11,332","3,711",3,0,5,182
509,103371,"1,35,379",36,Variable,2,"1,354",31,"1,78,131","5,746",1,0,5,109
510,103382,"1,14,805",65,Fixed,1,"6,171",31,"1,57,268","5,073",1,0,4,139
511,146283,"40,291",66,Fixed,2,"2,166",35,"92,538","2,644",3,0,4,178
512,151278,"52,883",28,Tracker,2,859,33,"69,035","2,092",3,0,1,200
513,43920,"16,746",52,Variable,2,21,28,"83,710","2,990",1,0,5,103
514,51731,"1,17,248",47,Tracker,1,"4,397",31,"1,62,845","5,253",1,0,3,46
515,144111,"53,865",66,Variable,1,"2,087",33,"1,53,899","4,664",4,0,4,182
516,38767,"1,41,272",54,Tracker,1,"1,589",30,"1,50,064","5,002",1,0,1,96
517,175354,"50,767",56,Tracker,2,635,30,"1,41,020","4,701",2,0,1,153
518,181224,"1,25,860",25,Tracker,2,"4,562",29,"1,72,411","5,945",3,0,3,51
519,118444,"19,340",47,Tracker,2,653,29,"1,49,407","5,152",4,0,3,61
520,84266,"87,584",38,Tracker,2,"1,204",34,"94,188","2,770",3,0,1,199
521,147021,"1,92,492",48,Tracker,2,962,28,"2,91,655","10,416",1,0,0,124
522,170715,"1,80,581",50,Tracker,1,"4,966",31,"2,91,260","9,395",4,0,2,7
523,104961,"1,78,894",48,Tracker,2,"2,907",28,"2,79,522","9,983",5,0,1,2
524,124458,"56,811",38,Fixed,2,"3,409",30,"94,685","3,156",1,0,5,65
525,69842,"39,889",56,Tracker,2,"1,197",29,"91,613","3,159",3,0,2,154
526,33942,"1,28,429",29,Tracker,2,"1,124",33,"2,14,048","6,486",2,0,1,198
527,36294,"76,302",33,Fixed,2,"4,769",33,"80,594","2,442",2,0,5,106
528,61879,"19,138",69,Variable,2,"1,029",29,"1,16,168","4,006",2,0,5,200
529,50150,"1,83,125",52,Variable,1,"9,385",33,"1,99,509","6,046",4,0,4,26
530,70122,"1,48,978",51,Tracker,2,"2,607",28,"1,60,252","5,723",2,0,1,193
531,159385,"1,95,816",58,Tracker,2,979,29,"2,10,636","7,263",2,0,0,105
532,177054,"7,101",31,Tracker,1,80,35,"1,50,866","4,310",1,0,1,69
533,124971,"1,21,781",36,Tracker,1,"3,806",28,"1,32,677","4,738",1,0,3,76
534,56988,"2,569",26,Fixed,2,135,34,"2,18,274","6,420",1,0,5,36
535,34679,"27,423",46,Tracker,1,240,28,"83,229","2,972",1,0,1,18
536,167152,"55,955",51,Tracker,2,"1,119",28,"88,817","3,172",2,0,2,168
537,46385,"29,312",56,Fixed,1,"1,722",34,"2,20,025","6,471",4,0,5,26
538,188595,"1,26,465",43,Variable,2,"4,426",30,"2,00,738","6,691",3,0,5,30
539,133715,"92,318",59,Tracker,1,"1,962",31,"1,21,471","3,918",1,0,2,136
540,186017,"93,778",57,Tracker,2,"4,337",32,"1,51,255","4,727",3,0,4,166
541,83674,"28,708",59,Tracker,2,574,29,"2,43,954","8,412",1,0,2,56
542,165047,"1,18,155",32,Fixed,2,"7,089",33,"1,61,856","4,905",1,0,5,31
543,66912,"5,087",43,Tracker,1,19,34,"4,32,269","12,714",4,0,0,16
544,62942,"10,375",69,Tracker,2,195,35,"61,030","1,744",2,0,2,199
545,81924,"1,51,546",59,Variable,2,"7,009",29,"2,36,791","8,165",1,0,5,62
546,143896,"1,32,559",50,Tracker,1,0,35,"1,05,277","3,008",5,0,0,166
547,122452,"35,960",33,Tracker,2,899,32,"98,575","3,080",1,0,2,98
548,109855,"87,030",56,Fixed,1,"4,678",33,"1,08,878","3,299",4,0,5,187
549,32633,"28,708",62,Variable,2,"1,866",29,"65,933","2,274",1,0,4,16
550,112492,"54,847",55,Tracker,2,"1,508",34,"69,426","2,042",2,0,2,76
551,103038,"95,037",27,Tracker,1,594,33,"1,02,888","3,118",2,0,1,168
552,86340,"66,985",68,Variable,2,"4,521",28,"1,01,492","3,625",1,0,5,13
553,43203,"1,83,024",60,Variable,2,"1,144",34,"2,90,514","8,545",1,0,5,165
554,131759,"1,08,585",69,Variable,1,"4,343",33,"1,72,358","5,223",3,0,3,198
555,114173,"1,41,146",25,Tracker,1,"3,882",31,"2,17,148","7,005",1,0,2,28
556,74174,"1,44,394",56,Tracker,2,180,29,"1,57,313","5,425",2,0,0,40
557,105556,"1,90,075",33,Tracker,2,0,35,"2,79,522","7,986",1,0,0,168
558,145643,"75,546",32,Variable,2,"4,438",28,"96,523","3,447",4,0,5,61
559,166861,"94,987",28,Variable,2,"3,206",30,"1,31,926","4,398",1,0,5,151
560,186698,"11,710",55,Fixed,1,790,30,"78,065","2,602",1,0,5,7
561,180360,"1,27,094",57,Tracker,2,"5,878",29,"1,98,585","6,848",2,0,4,65
562,149328,"1,84,636",33,Tracker,1,"1,846",28,"1,34,103","4,789",5,0,1,74
563,116990,"34,197",45,Variable,1,"1,411",28,"1,26,350","4,512",1,0,5,105
564,117264,"28,405",53,Tracker,2,71,31,"70,996","2,290",1,0,0,93
565,117051,"19,743",42,Tracker,2,666,33,"98,689","2,991",2,0,3,172
566,132899,"1,68,544",66,Tracker,2,"3,582",34,"2,27,762","6,699",1,0,2,55
567,166027,"1,61,821",51,Tracker,1,"4,046",34,"2,34,522","6,898",2,0,2,123
568,182214,"1,97,781",33,Fixed,2,"12,361",28,"2,78,564","9,949",2,0,5,160
569,187179,"1,52,604",47,Variable,2,"9,156",28,"2,50,170","8,935",1,0,5,22
570,152066,"2,468",41,Tracker,2,19,32,"2,09,715","6,554",3,0,1,61
571,67034,"20,851",59,Fixed,1,"1,251",32,"63,281","1,978",1,0,5,95
572,55276,"74,489",54,Tracker,2,93,30,"81,153","2,705",1,0,0,58
573,48868,"23,344",68,Variable,2,"1,576",32,"1,40,181","4,381",3,0,5,91
574,43718,"64,869",60,Tracker,2,649,30,"83,166","2,772",1,0,1,177
575,43259,"1,24,652",35,Tracker,2,"5,609",29,"1,70,756","5,888",1,0,4,128
576,185057,"1,73,757",66,Fixed,2,"9,557",34,"2,25,658","6,637",2,0,5,153
577,177585,"1,26,465",31,Tracker,2,"3,478",31,"1,78,119","5,746",1,0,2,73
578,114060,"1,83,200",43,Tracker,2,458,32,"2,81,846","8,808",1,0,0,29
579,147813,"19,743",35,Variable,2,296,29,"1,29,055","4,450",1,0,1,67
580,38901,"33,845",49,Tracker,1,212,34,"1,36,956","4,028",2,0,1,20
581,187157,"1,83,125",40,Variable,2,"10,987",30,"2,73,320","9,111",2,0,4,22
582,73545,"7,555",55,Variable,2,416,33,"71,331","2,162",1,0,5,33
583,66020,"76,453",36,Tracker,2,"2,580",29,"1,19,458","4,119",2,0,3,10
584,43158,"1,80,329",26,Fixed,1,"11,271",28,"1,66,567","5,949",5,0,5,182
585,42986,"1,15,838",37,Tracker,2,"4,344",30,"1,65,483","5,516",1,0,3,60
586,184872,"40,669",26,Fixed,2,"2,135",32,"1,04,728","3,273",2,0,5,150
587,40545,"1,12,363",36,Fixed,2,"6,039",32,"1,75,567","5,486",1,0,5,9
588,102696,"1,71,642",34,Variable,1,"1,716",30,"1,08,850","3,628",5,0,5,37
589,118543,"53,865",31,Tracker,2,539,30,"72,790","2,426",1,0,1,89
590,150143,"1,34,624",35,Variable,2,337,33,"2,13,689","6,475",3,0,5,127
591,175238,"1,60,964",25,Variable,2,"1,006",28,"1,77,643","6,344",2,0,5,121
592,163325,"74,489",66,Fixed,2,"4,004",35,"98,012","2,800",1,0,4,46
593,172500,"1,32,257",67,Tracker,1,"5,952",28,"2,16,814","7,743",1,0,4,153
594,48660,"2,04,832",55,Tracker,2,"9,473",34,"2,12,272","6,243",4,0,4,22
595,115189,"1,87,003",37,Tracker,2,"1,169",33,"2,03,734","6,174",1,0,1,110
596,107828,"1,73,757",32,Fixed,1,"11,729",33,"1,91,761","5,811",1,0,5,56
597,59426,"32,737",60,Tracker,2,818,32,"1,03,034","3,220",1,0,2,20
598,117334,"1,73,429",26,Tracker,1,867,34,"2,40,874","7,085",2,0,0,167
599,151581,"1,56,331",28,Tracker,2,"5,276",32,"2,11,258","6,602",2,0,3,165
600,104611,"1,92,643",42,Tracker,2,"5,298",28,"2,56,858","9,173",1,0,2,86
601,46300,"1,37,469",59,Fixed,2,"7,561",33,"1,96,385","5,951",1,0,5,81
602,157328,"97,304",28,Fixed,1,"6,568",28,"1,37,048","4,895",4,0,5,156
603,83637,"1,69,224",48,Variable,1,212,34,"2,25,632","6,636",1,0,0,30
604,141836,"2,02,313",53,Fixed,2,"12,645",29,"2,23,277","7,699",4,0,5,95
605,87183,"1,68,620",35,Tracker,2,"7,799",33,"2,30,986","7,000",2,0,4,69
606,173769,"1,30,796",64,Variable,2,163,35,"2,04,369","5,839",1,0,0,135
607,89467,"41,097",56,Tracker,2,"1,747",33,"91,905","2,785",3,0,3,3
608,103033,"67,916",44,Tracker,1,"1,868",35,"98,429","2,812",1,0,2,115
609,125049,"1,08,787",68,Variable,2,544,29,"1,45,049","5,002",2,0,5,158
610,152010,"1,16,039",42,Variable,2,"4,206",34,"1,23,261","3,625",2,0,5,22
611,75822,"1,28,429",49,Fixed,2,"8,187",29,"1,64,653","5,678",4,0,5,121
612,186043,"45,781",46,Fixed,1,"2,861",30,"1,05,146","3,505",1,0,5,31
613,168451,"63,509",33,Variable,1,"1,985",31,"80,392","2,593",4,0,4,62
614,138497,"1,06,118",56,Tracker,2,"1,326",33,"1,17,113","3,549",1,0,1,192
615,159976,"2,01,936",25,Tracker,1,"5,048",28,"1,22,573","4,378",5,0,2,12
616,69370,"1,92,643",45,Variable,2,"1,445",29,"2,09,879","7,237",2,0,5,65
617,105446,"77,284",25,Tracker,2,193,31,"1,07,929","3,482",4,0,0,88
618,127122,"1,66,958",52,Tracker,1,0,33,"1,73,914","5,270",3,0,0,104
619,162460,"1,84,636",59,Variable,2,"8,309",32,"2,52,925","7,904",1,0,5,41
620,82406,"7,555",41,Tracker,2,264,30,"91,712","3,057",1,0,3,128
621,135048,"69,377",46,Variable,2,694,28,"1,98,220","7,079",5,0,5,148
622,169460,"1,88,564",37,Fixed,2,"12,021",30,"2,73,281","9,109",1,0,5,162
623,79085,"1,59,554",53,Tracker,2,"1,795",32,"1,73,829","5,432",1,0,1,31
624,120990,"1,70,433",56,Tracker,2,852,35,"1,87,289","5,351",1,0,0,177
